"","data.ST","data.AGEP","data.CIT","data.COW","data.ENG","data.LANX","data.SCHL","data.SEX","data.ANC1P","data.ANC2P","data.FOD1P","data.FOD2P","data.LANP","data.NATIVITY","data.OCCP","data.RAC1P"
"1330163",24,55,1,4,NA,2,21,1,902,999,5200,NA,NA,1,136,2
"1021750",17,27,4,1,1,1,21,2,615,999,6206,6207,667,2,735,6
"1385170",25,53,1,NA,1,1,19,2,999,999,NA,NA,620,1,NA,1
"1488396",26,51,1,1,NA,2,16,1,924,999,NA,NA,NA,1,8140,1
"1162401",19,42,1,2,NA,2,17,1,939,999,NA,NA,NA,1,8965,1
"2281",1,26,1,1,NA,2,19,2,999,999,NA,NA,NA,1,5700,1
"1546732",27,2,1,NA,NA,NA,NA,2,785,999,NA,NA,NA,1,NA,6
"1425103",25,77,4,NA,3,1,16,1,336,999,NA,NA,623,2,NA,2
"102020",4,69,1,NA,NA,2,13,2,999,999,NA,NA,NA,1,NA,1
"509757",6,25,1,1,NA,2,19,2,290,999,NA,NA,NA,1,5620,1
"156393",6,30,1,1,NA,2,21,2,999,999,6107,NA,NA,1,3535,9
"1347641",24,40,1,1,NA,2,22,2,22,999,6102,NA,NA,1,3230,1
"669685",12,54,4,3,1,1,16,1,336,999,NA,NA,623,2,4220,2
"779827",12,67,1,1,NA,2,16,1,22,999,NA,NA,NA,1,5520,1
"1485670",26,33,1,1,NA,2,21,1,142,999,2408,NA,NA,1,1460,1
